"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Class End-Point"
"1","Digitaria californica","DICA8",NA,1,1,30
"2","Aristida","ARIST",NA,1,2,90
"3","Digitaria californica","DICA8",NA,1,3,70
"4","Digitaria californica","DICA8",NA,1,4,90
"5","Digitaria californica","DICA8",NA,1,5,90
"6","Heteropogon contortus","HECO10",NA,1,6,30
"7","Digitaria californica","DICA8",NA,1,7,10
"8","Setaria macrostachya","SEMA5",NA,1,8,90
"9","Digitaria californica","DICA8",NA,1,9,10
"10","Digitaria californica","DICA8",NA,1,10,10
"11","Digitaria californica","DICA8",NA,1,11,10
"12","Muhlenbergia porteri","MUPO2",NA,1,12,50
"13","Muhlenbergia porteri","MUPO2",NA,1,13,50
"14","Muhlenbergia porteri","MUPO2",NA,1,14,50
"15","Aristida","ARIST",NA,1,15,70
"16","Aristida","ARIST",NA,1,16,70
"17","Aristida","ARIST",NA,1,17,70
"18","Muhlenbergia porteri","MUPO2",NA,1,18,30
"19","Muhlenbergia porteri","MUPO2",NA,1,19,30
"20","Muhlenbergia porteri","MUPO2",NA,1,20,30
"21","Digitaria californica","DICA8",NA,1,21,50
"22","Digitaria californica","DICA8",NA,1,22,50
"23","Digitaria californica","DICA8",NA,1,23,50
"24","Aristida","ARIST",NA,1,24,0
"25","Setaria macrostachya","SEMA5",NA,1,25,90
"26","Muhlenbergia porteri","MUPO2",NA,1,26,90
"27","Digitaria californica","DICA8",NA,1,27,90
"28","Digitaria californica","DICA8",NA,1,28,90
"29","Digitaria californica","DICA8",NA,1,29,90
"30","Setaria macrostachya","SEMA5",NA,1,30,90
"31","Setaria macrostachya","SEMA5",NA,1,31,90
"32","Eragrostis lehmanniana","ERLE",NA,1,32,50
"33","Digitaria californica","DICA8",NA,1,33,70
"34","Heteropogon contortus","HECO10",NA,1,34,70
"35","Heteropogon contortus","HECO10",NA,1,35,90
"36","Eragrostis lehmanniana","ERLE",NA,1,36,90
"37","Digitaria californica","DICA8",NA,1,37,70
"38","Digitaria californica","DICA8",NA,1,38,70
"39","Digitaria californica","DICA8",NA,1,39,70
"40","Muhlenbergia porteri","MUPO2",NA,1,40,50
"41","Muhlenbergia porteri","MUPO2",NA,1,41,90
"42","Digitaria californica","DICA8",NA,1,42,90
"43","Digitaria californica","DICA8",NA,1,43,90
"44","Eragrostis lehmanniana","ERLE",NA,1,44,30
"45","Eragrostis lehmanniana","ERLE",NA,1,45,30
"46","Setaria macrostachya","SEMA5",NA,1,46,70
"47","Muhlenbergia porteri","MUPO2",NA,1,47,0
"48","Muhlenbergia porteri","MUPO2",NA,1,48,0
"49","Muhlenbergia porteri","MUPO2",NA,1,49,90
"50","Muhlenbergia porteri","MUPO2",NA,1,50,90
"51","Muhlenbergia porteri","MUPO2",NA,1,51,90
"52","Muhlenbergia porteri","MUPO2",NA,1,52,90
"53","Muhlenbergia porteri","MUPO2",NA,1,53,70
"54","Muhlenbergia porteri","MUPO2",NA,1,54,70
"55","Digitaria californica","DICA8",NA,1,55,50
"56","Digitaria californica","DICA8",NA,1,56,50
"57","Aristida","ARIST",NA,1,57,10
"58","Aristida","ARIST",NA,1,58,10
"59","Muhlenbergia porteri","MUPO2",NA,1,59,50
"60","Muhlenbergia porteri","MUPO2",NA,1,60,50
"61","Muhlenbergia porteri","MUPO2",NA,1,61,50
"62","Muhlenbergia porteri","MUPO2",NA,1,62,50
"63","Muhlenbergia porteri","MUPO2",NA,1,63,50
"64","Muhlenbergia porteri","MUPO2",NA,1,64,50
"65","Muhlenbergia porteri","MUPO2",NA,1,65,50
"66","Muhlenbergia porteri","MUPO2",NA,1,66,50
"67","Setaria macrostachya","SEMA5",NA,1,67,90
"68","Setaria macrostachya","SEMA5",NA,1,68,90
"69","Setaria macrostachya","SEMA5",NA,1,69,90
"70","Setaria macrostachya","SEMA5",NA,1,70,90
"71","Setaria macrostachya","SEMA5",NA,1,71,90
"72","Setaria macrostachya","SEMA5",NA,1,72,90
"73","Digitaria californica","DICA8",NA,1,73,90
"74","Digitaria californica","DICA8",NA,1,74,90
"75","Digitaria californica","DICA8",NA,1,75,90
"76","Muhlenbergia porteri","MUPO2",NA,1,76,90
"77","Muhlenbergia porteri","MUPO2",NA,1,77,90
"78","Muhlenbergia porteri","MUPO2",NA,1,78,90
"79","Muhlenbergia porteri","MUPO2",NA,1,79,90
"80","Muhlenbergia porteri","MUPO2",NA,1,80,90
"81","Setaria macrostachya","SEMA5",NA,1,81,90
"82","Setaria macrostachya","SEMA5",NA,1,82,90
"83","Muhlenbergia porteri","MUPO2",NA,1,83,70
"84","Digitaria californica","DICA8",NA,1,84,90
"85","Digitaria californica","DICA8",NA,1,85,10
"86","Digitaria californica","DICA8",NA,1,86,10
"87","Muhlenbergia porteri","MUPO2",NA,1,87,30
"88","Muhlenbergia porteri","MUPO2",NA,1,88,30
"89","Muhlenbergia porteri","MUPO2",NA,1,89,30
"90","Setaria macrostachya","SEMA5",NA,1,90,90
"91","Digitaria californica","DICA8",NA,1,91,70
"92","Digitaria californica","DICA8",NA,1,92,70
"93","Setaria macrostachya","SEMA5",NA,1,93,90
"94","Digitaria californica","DICA8",NA,1,94,0
"95","Setaria macrostachya","SEMA5",NA,1,95,90
"96","Digitaria californica","DICA8",NA,1,96,90
"97","Digitaria californica","DICA8",NA,1,97,90
"98","Muhlenbergia porteri","MUPO2",NA,1,98,90
"99","Muhlenbergia porteri","MUPO2",NA,1,99,90
"100","Muhlenbergia porteri","MUPO2",NA,1,100,90
