"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,29
"2","Eragrostis lehmanniana","ERLE",NA,1,1,13
"3","Eragrostis lehmanniana","ERLE",NA,1,1,10
"4","Eragrostis lehmanniana","ERLE",NA,1,1,8
"5","Eragrostis lehmanniana","ERLE",NA,1,2,2
"6","Eragrostis lehmanniana","ERLE",NA,1,2,3
"7","Eragrostis lehmanniana","ERLE",NA,1,2,4
"8","Eragrostis lehmanniana","ERLE",NA,1,2,7
"9","Eragrostis lehmanniana","ERLE",NA,1,3,37
"10","Eragrostis lehmanniana","ERLE",NA,1,3,23
"11","Eragrostis lehmanniana","ERLE",NA,1,3,5
"12","Eragrostis lehmanniana","ERLE",NA,1,3,6
"13","Eragrostis lehmanniana","ERLE",NA,1,4,4
"14","Eragrostis lehmanniana","ERLE",NA,1,4,4
"15","Eragrostis lehmanniana","ERLE",NA,1,4,7
"16","Eragrostis lehmanniana","ERLE",NA,1,4,4
"17","Eragrostis lehmanniana","ERLE",NA,1,5,4
"18","Eragrostis lehmanniana","ERLE",NA,1,5,8
"19","Eragrostis lehmanniana","ERLE",NA,1,5,8
"20","Eragrostis lehmanniana","ERLE",NA,1,5,5
"21","Eragrostis lehmanniana","ERLE",NA,1,6,4
"22","Eragrostis lehmanniana","ERLE",NA,1,6,8
"23","Eragrostis lehmanniana","ERLE",NA,1,6,8
"24","Eragrostis lehmanniana","ERLE",NA,1,6,5
"25","Aristida","ARIST",NA,1,7,27
"26","Aristida","ARIST",NA,1,7,29
"27","Aristida","ARIST",NA,1,7,23
"28","Aristida","ARIST",NA,1,7,18
"29","Aristida","ARIST",NA,1,8,27
"30","Aristida","ARIST",NA,1,8,29
"31","Aristida","ARIST",NA,1,8,23
"32","Aristida","ARIST",NA,1,8,19
"33","Aristida","ARIST",NA,1,9,6
"34","Aristida","ARIST",NA,1,9,5
"35","Aristida","ARIST",NA,1,9,18
"36","Aristida","ARIST",NA,1,9,12
"37","Aristida","ARIST",NA,1,10,7
"38","Aristida","ARIST",NA,1,10,9
"39","Aristida","ARIST",NA,1,10,6
"40","Aristida","ARIST",NA,1,10,4
"41","Eragrostis lehmanniana","ERLE",NA,1,11,5
"42","Eragrostis lehmanniana","ERLE",NA,1,11,5
"43","Eragrostis lehmanniana","ERLE",NA,1,11,51
"44","Eragrostis lehmanniana","ERLE",NA,1,11,47
"45","Digitaria californica","DICA8",NA,1,12,16
"46","Digitaria californica","DICA8",NA,1,12,12
"47","Digitaria californica","DICA8",NA,1,12,24
"48","Digitaria californica","DICA8",NA,1,12,12
"49","Digitaria californica","DICA8",NA,1,13,16
"50","Digitaria californica","DICA8",NA,1,13,12
"51","Digitaria californica","DICA8",NA,1,13,24
"52","Digitaria californica","DICA8",NA,1,13,13
"53","Eragrostis lehmanniana","ERLE",NA,1,14,11
"54","Eragrostis lehmanniana","ERLE",NA,1,14,15
"55","Eragrostis lehmanniana","ERLE",NA,1,14,34
"56","Eragrostis lehmanniana","ERLE",NA,1,14,38
"57","Eragrostis lehmanniana","ERLE",NA,1,15,23
"58","Eragrostis lehmanniana","ERLE",NA,1,15,44
"59","Eragrostis lehmanniana","ERLE",NA,1,15,51
"60","Eragrostis lehmanniana","ERLE",NA,1,15,47
"61","Digitaria californica","DICA8",NA,1,16,14
"62","Digitaria californica","DICA8",NA,1,16,23
"63","Digitaria californica","DICA8",NA,1,16,4
"64","Digitaria californica","DICA8",NA,1,16,5
"65","Eragrostis lehmanniana","ERLE",NA,1,17,5
"66","Eragrostis lehmanniana","ERLE",NA,1,17,5
