"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,10
"2","Eragrostis lehmanniana","ERLE",NA,1,1,7.5
"3","Eragrostis lehmanniana","ERLE",NA,1,1,2
"4","Eragrostis lehmanniana","ERLE",NA,1,1,3
"5","Muhlenbergia porteri","MUPO2",NA,1,2,27
"6","Muhlenbergia porteri","MUPO2",NA,1,2,6.5
"7","Muhlenbergia porteri","MUPO2",NA,1,2,5.5
"8","Muhlenbergia porteri","MUPO2",NA,1,2,7
"9","Eragrostis lehmanniana","ERLE",NA,1,3,3
"10","Eragrostis lehmanniana","ERLE",NA,1,3,2.5
"11","Eragrostis lehmanniana","ERLE",NA,1,3,3
"12","Eragrostis lehmanniana","ERLE",NA,1,3,6.5
"13","Eragrostis lehmanniana","ERLE",NA,1,4,4
"14","Eragrostis lehmanniana","ERLE",NA,1,4,3.5
"15","Eragrostis lehmanniana","ERLE",NA,1,4,4
"16","Eragrostis lehmanniana","ERLE",NA,1,4,4
"17","Eragrostis lehmanniana","ERLE",NA,1,5,4
"18","Eragrostis lehmanniana","ERLE",NA,1,5,3.5
"19","Eragrostis lehmanniana","ERLE",NA,1,5,4
"20","Eragrostis lehmanniana","ERLE",NA,1,5,4
"21","Bouteloua curtipendula","BOCU",NA,1,6,3
"22","Bouteloua curtipendula","BOCU",NA,1,6,2
"23","Bouteloua curtipendula","BOCU",NA,1,6,5
"24","Bouteloua curtipendula","BOCU",NA,1,6,2
"25","Muhlenbergia porteri","MUPO2",NA,1,7,16.5
"26","Muhlenbergia porteri","MUPO2",NA,1,7,14
"27","Muhlenbergia porteri","MUPO2",NA,1,7,14
"28","Muhlenbergia porteri","MUPO2",NA,1,7,29
"29","Muhlenbergia porteri","MUPO2",NA,1,8,77
"30","Muhlenbergia porteri","MUPO2",NA,1,8,63
"31","Muhlenbergia porteri","MUPO2",NA,1,8,58
"32","Muhlenbergia porteri","MUPO2",NA,1,8,10
"33","Eragrostis lehmanniana","ERLE",NA,1,9,7.5
"34","Eragrostis lehmanniana","ERLE",NA,1,9,6
"35","Eragrostis lehmanniana","ERLE",NA,1,9,4.5
"36","Eragrostis lehmanniana","ERLE",NA,1,9,11
"37","Eragrostis lehmanniana","ERLE",NA,1,10,16
"38","Eragrostis lehmanniana","ERLE",NA,1,10,9
"39","Eragrostis lehmanniana","ERLE",NA,1,10,5
"40","Eragrostis lehmanniana","ERLE",NA,1,10,4
"41","Aristida","ARIST",NA,1,11,20
"42","Aristida","ARIST",NA,1,11,18
"43","Aristida","ARIST",NA,1,11,14
"44","Aristida","ARIST",NA,1,11,14
"45","Aristida","ARIST",NA,1,12,24
"46","Aristida","ARIST",NA,1,12,24
"47","Aristida","ARIST",NA,1,12,31
"48","Aristida","ARIST",NA,1,12,23
"49","Eragrostis lehmanniana","ERLE",NA,1,13,6
"50","Eragrostis lehmanniana","ERLE",NA,1,13,2
"51","Eragrostis lehmanniana","ERLE",NA,1,13,3
"52","Eragrostis lehmanniana","ERLE",NA,1,13,3
"53","Eragrostis lehmanniana","ERLE",NA,1,14,8.5
"54","Eragrostis lehmanniana","ERLE",NA,1,14,4
"55","Eragrostis lehmanniana","ERLE",NA,1,14,4
