"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Bouteloua repens","BORE2",NA,1,1,1
"2","Bouteloua repens","BORE2",NA,1,1,2.5
"3","Bouteloua repens","BORE2",NA,1,1,1
"4","Bouteloua repens","BORE2",NA,1,1,3
"5","Bouteloua repens","BORE2",NA,1,2,5
"6","Bouteloua repens","BORE2",NA,1,2,3
"7","Bouteloua repens","BORE2",NA,1,2,2
"8","Bouteloua repens","BORE2",NA,1,2,2
"9","Bouteloua repens","BORE2",NA,1,3,6
"10","Bouteloua repens","BORE2",NA,1,3,6.5
"11","Bouteloua repens","BORE2",NA,1,3,7
"12","Bouteloua repens","BORE2",NA,1,3,7
"13","Bouteloua repens","BORE2",NA,1,4,51
"14","Bouteloua repens","BORE2",NA,1,4,36
"15","Bouteloua repens","BORE2",NA,1,4,47
"16","Bouteloua repens","BORE2",NA,1,4,29
"17","Bouteloua repens","BORE2",NA,1,5,31
"18","Bouteloua repens","BORE2",NA,1,5,28
"19","Bouteloua repens","BORE2",NA,1,5,44
"20","Bouteloua repens","BORE2",NA,1,5,46
"21","Bouteloua repens","BORE2",NA,1,6,11
"22","Bouteloua repens","BORE2",NA,1,6,10.5
"23","Bouteloua repens","BORE2",NA,1,6,11
"24","Bouteloua repens","BORE2",NA,1,6,7
"25","Bouteloua chondrosioides","BOCH",NA,1,7,24
"26","Bouteloua chondrosioides","BOCH",NA,1,7,14
"27","Bouteloua chondrosioides","BOCH",NA,1,7,16
"28","Bouteloua chondrosioides","BOCH",NA,1,7,15
"29","Bouteloua repens","BORE2",NA,1,8,6
"30","Bouteloua repens","BORE2",NA,1,8,5
"31","Bouteloua repens","BORE2",NA,1,8,1
"32","Bouteloua repens","BORE2",NA,1,8,4
"33","Bouteloua chondrosioides","BOCH",NA,1,9,7
"34","Bouteloua chondrosioides","BOCH",NA,1,9,4
"35","Bouteloua chondrosioides","BOCH",NA,1,9,3
"36","Bouteloua chondrosioides","BOCH",NA,1,9,4.5
"37","Bouteloua chondrosioides","BOCH",NA,1,10,9
"38","Bouteloua chondrosioides","BOCH",NA,1,10,4.5
"39","Bouteloua chondrosioides","BOCH",NA,1,10,6.5
"40","Bouteloua chondrosioides","BOCH",NA,1,10,5
"41","Bouteloua repens","BORE2",NA,1,11,6
"42","Bouteloua repens","BORE2",NA,1,11,5
"43","Bouteloua repens","BORE2",NA,1,11,5
"44","Bouteloua repens","BORE2",NA,1,11,4
"45","Bouteloua repens","BORE2",NA,1,12,8.5
"46","Bouteloua repens","BORE2",NA,1,12,9
"47","Bouteloua repens","BORE2",NA,1,12,6
"48","Bouteloua repens","BORE2",NA,1,12,7
"49","Bouteloua chondrosioides","BOCH",NA,1,13,10
"50","Bouteloua chondrosioides","BOCH",NA,1,13,6
"51","Bouteloua chondrosioides","BOCH",NA,1,13,6
"52","Bouteloua chondrosioides","BOCH",NA,1,13,5
"53","Bouteloua chondrosioides","BOCH",NA,1,14,1
"54","Bouteloua chondrosioides","BOCH",NA,1,14,1
"55","Bouteloua chondrosioides","BOCH",NA,1,14,1
"56","Bouteloua chondrosioides","BOCH",NA,1,14,1.5
"57","Bouteloua chondrosioides","BOCH",NA,1,15,6.5
