"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Class End-Point"
"1","Bouteloua curtipendula","BOCU",NA,1,1,70
"2","Bouteloua curtipendula","BOCU",NA,1,2,70
"3","Bouteloua curtipendula","BOCU",NA,1,3,70
"4","Eragrostis lehmanniana","ERLE",NA,1,4,70
"5","Bouteloua repens","BORE2",NA,1,5,50
"6","Bouteloua repens","BORE2",NA,1,6,70
"7","Bouteloua repens","BORE2",NA,1,7,90
"8","Bouteloua repens","BORE2",NA,1,8,30
"9","Aristida","ARIST",NA,1,9,10
"10","Bouteloua repens","BORE2",NA,1,10,30
"11","Bouteloua repens","BORE2",NA,1,11,90
"12","Bouteloua repens","BORE2",NA,1,12,70
"13","Bouteloua repens","BORE2",NA,1,13,0
"14","Eragrostis lehmanniana","ERLE",NA,1,14,30
"15","Bouteloua repens","BORE2",NA,1,15,30
"16","Bouteloua repens","BORE2",NA,1,16,30
"17","Bouteloua repens","BORE2",NA,1,17,30
"18","Eragrostis lehmanniana","ERLE",NA,1,18,30
"19","Bouteloua repens","BORE2",NA,1,19,30
"20","Eragrostis lehmanniana","ERLE",NA,1,20,30
"21","Eragrostis lehmanniana","ERLE",NA,1,21,50
"22","Eragrostis lehmanniana","ERLE",NA,1,22,10
"23","Eragrostis lehmanniana","ERLE",NA,1,23,30
"24","Bouteloua repens","BORE2",NA,1,24,50
"25","Eragrostis lehmanniana","ERLE",NA,1,25,10
"26","Eragrostis lehmanniana","ERLE",NA,1,26,0
"27","Eragrostis lehmanniana","ERLE",NA,1,27,30
"28","Eragrostis lehmanniana","ERLE",NA,1,28,90
"29","Eragrostis lehmanniana","ERLE",NA,1,29,0
"30","Eragrostis lehmanniana","ERLE",NA,1,30,10
"31","Eragrostis lehmanniana","ERLE",NA,1,31,70
"32","Eragrostis lehmanniana","ERLE",NA,1,32,30
"33","Eragrostis lehmanniana","ERLE",NA,1,33,10
"34","Eragrostis lehmanniana","ERLE",NA,1,34,10
"35","Eragrostis lehmanniana","ERLE",NA,1,35,0
"36","Eragrostis lehmanniana","ERLE",NA,1,36,0
"37","Eragrostis lehmanniana","ERLE",NA,1,37,10
"38","Eragrostis lehmanniana","ERLE",NA,1,38,10
"39","Eragrostis lehmanniana","ERLE",NA,1,39,0
"40","Eragrostis lehmanniana","ERLE",NA,1,40,70
"41","Eragrostis lehmanniana","ERLE",NA,1,41,10
"42","Eragrostis lehmanniana","ERLE",NA,1,42,30
"43","Eragrostis lehmanniana","ERLE",NA,1,43,10
"44","Eragrostis lehmanniana","ERLE",NA,1,44,0
"45","Eragrostis lehmanniana","ERLE",NA,1,45,30
"46","Eragrostis lehmanniana","ERLE",NA,1,46,50
"47","Eragrostis lehmanniana","ERLE",NA,1,47,50
"48","Eragrostis lehmanniana","ERLE",NA,1,48,70
"49","Eragrostis lehmanniana","ERLE",NA,1,49,90
"50","Eragrostis lehmanniana","ERLE",NA,1,50,30
"51","Eragrostis lehmanniana","ERLE",NA,1,51,10
"52","Eragrostis lehmanniana","ERLE",NA,1,52,70
"53","Eragrostis lehmanniana","ERLE",NA,1,53,0
"54","Eragrostis lehmanniana","ERLE",NA,1,54,10
"55","Eragrostis lehmanniana","ERLE",NA,1,55,70
"56","Eragrostis lehmanniana","ERLE",NA,1,56,30
"57","Eragrostis lehmanniana","ERLE",NA,1,57,0
"58","Eragrostis lehmanniana","ERLE",NA,1,58,10
"59","Eragrostis lehmanniana","ERLE",NA,1,59,30
"60","Eragrostis lehmanniana","ERLE",NA,1,60,50
"61","Eragrostis lehmanniana","ERLE",NA,1,61,70
"62","Eragrostis lehmanniana","ERLE",NA,1,62,70
"63","Eragrostis lehmanniana","ERLE",NA,1,63,70
"64","Eragrostis lehmanniana","ERLE",NA,1,64,70
"65","Eragrostis lehmanniana","ERLE",NA,1,65,50
"66","Eragrostis lehmanniana","ERLE",NA,1,66,0
"67","Eragrostis lehmanniana","ERLE",NA,1,67,10
"68","Eragrostis lehmanniana","ERLE",NA,1,68,0
"69","Eragrostis lehmanniana","ERLE",NA,1,69,0
"70","Eragrostis lehmanniana","ERLE",NA,1,70,10
"71","Eragrostis lehmanniana","ERLE",NA,1,71,70
"72","Eragrostis lehmanniana","ERLE",NA,1,72,70
"73","Setaria macrostachya","SEMA5",NA,1,73,90
"74","Eragrostis lehmanniana","ERLE",NA,1,74,50
"75","Eragrostis lehmanniana","ERLE",NA,1,75,10
"76","Eragrostis lehmanniana","ERLE",NA,1,76,30
"77","Eragrostis lehmanniana","ERLE",NA,1,77,50
"78","Eragrostis lehmanniana","ERLE",NA,1,78,10
