"","Species/Category Name","Species/Category Code Code","Qualifier","Transect","Sample","Class End-Point"
"1","Aristida","ARIST",NA,1,1,0
"2","Aristida","ARIST",NA,1,2,30
"3","Eragrostis lehmanniana","ERLE",NA,1,3,30
"4","Aristida","ARIST",NA,1,4,0
"5","Aristida","ARIST",NA,1,5,0
"6","Bouteloua eriopoda","BOER4",NA,1,6,0
"7","Pennisetum ciliare","PECI",NA,1,7,50
"8","Pennisetum ciliare","PECI",NA,1,8,70
"9","Aristida","ARIST",NA,1,9,0
"10","Aristida","ARIST",NA,1,10,0
"11","Aristida","ARIST",NA,1,11,30
"12","Aristida","ARIST",NA,1,12,30
"13","Aristida","ARIST",NA,1,13,50
"14","Eragrostis lehmanniana","ERLE",NA,1,14,0
"15","Eragrostis lehmanniana","ERLE",NA,1,15,30
"16","Eragrostis lehmanniana","ERLE",NA,1,16,30
"17","Eragrostis lehmanniana","ERLE",NA,1,17,50
"18","Eragrostis lehmanniana","ERLE",NA,1,18,30
"19","Eragrostis lehmanniana","ERLE",NA,1,19,10
"20","Eragrostis lehmanniana","ERLE",NA,1,20,10
"21","Eragrostis lehmanniana","ERLE",NA,1,21,0
"22","Aristida","ARIST",NA,1,22,30
"23","Eragrostis lehmanniana","ERLE",NA,1,23,30
"24","Eragrostis lehmanniana","ERLE",NA,1,24,70
"25","Eragrostis lehmanniana","ERLE",NA,1,25,70
"26","Sporobolus cryptandrus","SPCR",NA,1,26,70
"27","Eragrostis lehmanniana","ERLE",NA,1,27,70
"28","Eragrostis lehmanniana","ERLE",NA,1,28,70
"29","Eragrostis lehmanniana","ERLE",NA,1,29,50
"30","Eragrostis lehmanniana","ERLE",NA,1,30,70
"31","Eragrostis lehmanniana","ERLE",NA,1,31,70
"32","Eragrostis lehmanniana","ERLE",NA,1,32,70
"33","Eragrostis lehmanniana","ERLE",NA,1,33,70
"34","Eragrostis lehmanniana","ERLE",NA,1,34,30
"35","Eragrostis lehmanniana","ERLE",NA,1,35,70
"36","Eragrostis lehmanniana","ERLE",NA,1,36,30
"37","Eragrostis lehmanniana","ERLE",NA,1,37,70
"38","Eragrostis lehmanniana","ERLE",NA,1,38,30
"39","Eragrostis lehmanniana","ERLE",NA,1,39,30
"40","Eragrostis lehmanniana","ERLE",NA,1,40,70
"41","Eragrostis lehmanniana","ERLE",NA,1,41,90
"42","Eragrostis lehmanniana","ERLE",NA,1,42,90
"43","Eragrostis lehmanniana","ERLE",NA,1,43,70
"44","Eragrostis lehmanniana","ERLE",NA,1,44,70
"45","Eragrostis lehmanniana","ERLE",NA,1,45,70
"46","Eragrostis lehmanniana","ERLE",NA,1,46,70
"47","Eragrostis lehmanniana","ERLE",NA,1,47,70
"48","Digitaria californica","DICA8",NA,1,48,70
"49","Eragrostis lehmanniana","ERLE",NA,1,49,70
"50","Digitaria californica","DICA8",NA,1,50,50
"51","Eragrostis lehmanniana","ERLE",NA,1,51,30
"52","Eragrostis lehmanniana","ERLE",NA,1,52,30
"53","Eragrostis lehmanniana","ERLE",NA,1,53,10
"54","Eragrostis lehmanniana","ERLE",NA,1,54,10
"55","Eragrostis lehmanniana","ERLE",NA,1,55,10
"56","Eragrostis lehmanniana","ERLE",NA,1,56,70
"57","Eragrostis lehmanniana","ERLE",NA,1,57,50
"58","Eragrostis lehmanniana","ERLE",NA,1,58,30
"59","Eragrostis lehmanniana","ERLE",NA,1,59,50
