"","Species/Category Name","Species/Category Code Code","Qualifier","Transect","Sample","Height"
"1","Aristida","ARIST",NA,1,1,6.5
"2","Aristida","ARIST",NA,1,1,10
"3","Aristida","ARIST",NA,1,1,14.5
"4","Aristida","ARIST",NA,1,1,18.5
"5","Aristida","ARIST",NA,1,2,8
"6","Aristida","ARIST",NA,1,2,7.5
"7","Aristida","ARIST",NA,1,2,4.5
"8","Aristida","ARIST",NA,1,2,2.5
"9","Eragrostis lehmanniana","ERLE",NA,1,3,11
"10","Eragrostis lehmanniana","ERLE",NA,1,3,10
"11","Eragrostis lehmanniana","ERLE",NA,1,3,10
"12","Eragrostis lehmanniana","ERLE",NA,1,3,7
"13","Aristida","ARIST",NA,1,4,15
"14","Aristida","ARIST",NA,1,4,15
"15","Aristida","ARIST",NA,1,4,17
"16","Aristida","ARIST",NA,1,4,18.5
"17","Aristida","ARIST",NA,1,5,29
"18","Aristida","ARIST",NA,1,5,34.5
"19","Aristida","ARIST",NA,1,5,29
"20","Aristida","ARIST",NA,1,5,24
"21","Bouteloua eriopoda","BOER4",NA,1,6,52
"22","Bouteloua eriopoda","BOER4",NA,1,6,42
"23","Bouteloua eriopoda","BOER4",NA,1,6,48
"24","Bouteloua eriopoda","BOER4",NA,1,6,42
"25","Pennisetum ciliare","PECI",NA,1,7,16.5
"26","Pennisetum ciliare","PECI",NA,1,7,23
"27","Pennisetum ciliare","PECI",NA,1,7,18
"28","Pennisetum ciliare","PECI",NA,1,7,19
"29","Pennisetum ciliare","PECI",NA,1,8,7.5
"30","Pennisetum ciliare","PECI",NA,1,8,5
"31","Pennisetum ciliare","PECI",NA,1,8,10
"32","Pennisetum ciliare","PECI",NA,1,8,5
"33","Aristida","ARIST",NA,1,9,26
"34","Aristida","ARIST",NA,1,9,21
"35","Aristida","ARIST",NA,1,9,12
"36","Aristida","ARIST",NA,1,9,20
"37","Aristida","ARIST",NA,1,10,26
"38","Aristida","ARIST",NA,1,10,21
"39","Aristida","ARIST",NA,1,10,12
"40","Aristida","ARIST",NA,1,10,20
"41","Aristida","ARIST",NA,1,11,18
"42","Aristida","ARIST",NA,1,11,20
"43","Aristida","ARIST",NA,1,11,19
"44","Aristida","ARIST",NA,1,11,17
"45","Aristida","ARIST",NA,1,12,18
"46","Aristida","ARIST",NA,1,12,20
"47","Aristida","ARIST",NA,1,12,19
"48","Aristida","ARIST",NA,1,12,17
"49","Aristida","ARIST",NA,1,13,15
"50","Aristida","ARIST",NA,1,13,10
"51","Aristida","ARIST",NA,1,13,11
"52","Aristida","ARIST",NA,1,13,8
"53","Eragrostis lehmanniana","ERLE",NA,1,14,62
"54","Eragrostis lehmanniana","ERLE",NA,1,14,55
"55","Eragrostis lehmanniana","ERLE",NA,1,14,51
"56","Eragrostis lehmanniana","ERLE",NA,1,14,29
"57","Eragrostis lehmanniana","ERLE",NA,1,15,49
"58","Eragrostis lehmanniana","ERLE",NA,1,15,59
"59","Eragrostis lehmanniana","ERLE",NA,1,15,15
"60","Eragrostis lehmanniana","ERLE",NA,1,15,16
"61","Eragrostis lehmanniana","ERLE",NA,1,16,20
"62","Eragrostis lehmanniana","ERLE",NA,1,16,29
"63","Eragrostis lehmanniana","ERLE",NA,1,16,5
"64","Eragrostis lehmanniana","ERLE",NA,1,16,10
"65","Eragrostis lehmanniana","ERLE",NA,1,17,28
"66","Eragrostis lehmanniana","ERLE",NA,1,17,52
"67","Eragrostis lehmanniana","ERLE",NA,1,17,8
"68","Eragrostis lehmanniana","ERLE",NA,1,17,7
"69","Eragrostis lehmanniana","ERLE",NA,1,18,45
"70","Eragrostis lehmanniana","ERLE",NA,1,18,9
"71","Eragrostis lehmanniana","ERLE",NA,1,18,9
"72","Eragrostis lehmanniana","ERLE",NA,1,18,14
"73","Eragrostis lehmanniana","ERLE",NA,1,19,62
"74","Eragrostis lehmanniana","ERLE",NA,1,19,57
"75","Eragrostis lehmanniana","ERLE",NA,1,19,29
"76","Eragrostis lehmanniana","ERLE",NA,1,19,35
"77","Eragrostis lehmanniana","ERLE",NA,1,20,62
"78","Eragrostis lehmanniana","ERLE",NA,1,20,57
"79","Eragrostis lehmanniana","ERLE",NA,1,20,29
"80","Eragrostis lehmanniana","ERLE",NA,1,20,35
"81","Eragrostis lehmanniana","ERLE",NA,1,21,13
"82","Eragrostis lehmanniana","ERLE",NA,1,21,13
"83","Eragrostis lehmanniana","ERLE",NA,1,21,11
"84","Eragrostis lehmanniana","ERLE",NA,1,21,14
"85","Aristida","ARIST",NA,1,22,12
"86","Aristida","ARIST",NA,1,22,12
"87","Aristida","ARIST",NA,1,22,13
"88","Aristida","ARIST",NA,1,22,5
"89","Eragrostis lehmanniana","ERLE",NA,1,23,69
"90","Eragrostis lehmanniana","ERLE",NA,1,23,71.5
"91","Eragrostis lehmanniana","ERLE",NA,1,23,17
"92","Eragrostis lehmanniana","ERLE",NA,1,23,13
"93","Eragrostis lehmanniana","ERLE",NA,1,24,12
"94","Eragrostis lehmanniana","ERLE",NA,1,24,6
"95","Eragrostis lehmanniana","ERLE",NA,1,24,7
"96","Eragrostis lehmanniana","ERLE",NA,1,24,5
"97","Eragrostis lehmanniana","ERLE",NA,1,25,7
"98","Eragrostis lehmanniana","ERLE",NA,1,25,5
"99","Eragrostis lehmanniana","ERLE",NA,1,25,6
"100","Eragrostis lehmanniana","ERLE",NA,1,25,14
"101","Eragrostis lehmanniana","ERLE",NA,1,26,18
"102","Eragrostis lehmanniana","ERLE",NA,1,26,7
"103","Eragrostis lehmanniana","ERLE",NA,1,26,8
"104","Eragrostis lehmanniana","ERLE",NA,1,26,14
"105","Eragrostis lehmanniana","ERLE",NA,1,27,4
"106","Eragrostis lehmanniana","ERLE",NA,1,27,6
"107","Eragrostis lehmanniana","ERLE",NA,1,27,7
"108","Eragrostis lehmanniana","ERLE",NA,1,27,9
"109","Eragrostis lehmanniana","ERLE",NA,1,28,5
"110","Eragrostis lehmanniana","ERLE",NA,1,28,4.5
"111","Eragrostis lehmanniana","ERLE",NA,1,28,47
"112","Eragrostis lehmanniana","ERLE",NA,1,28,8
"113","Eragrostis lehmanniana","ERLE",NA,1,29,10.5
"114","Eragrostis lehmanniana","ERLE",NA,1,29,7
"115","Eragrostis lehmanniana","ERLE",NA,1,29,13
"116","Eragrostis lehmanniana","ERLE",NA,1,29,35
"117","Eragrostis lehmanniana","ERLE",NA,1,30,22
"118","Eragrostis lehmanniana","ERLE",NA,1,30,8
"119","Eragrostis lehmanniana","ERLE",NA,1,30,4
"120","Eragrostis lehmanniana","ERLE",NA,1,30,8
"121","Eragrostis lehmanniana","ERLE",NA,1,31,16
"122","Eragrostis lehmanniana","ERLE",NA,1,31,7
"123","Eragrostis lehmanniana","ERLE",NA,1,31,29
"124","Eragrostis lehmanniana","ERLE",NA,1,31,29
"125","Eragrostis lehmanniana","ERLE",NA,1,32,7.5
"126","Eragrostis lehmanniana","ERLE",NA,1,32,9
"127","Eragrostis lehmanniana","ERLE",NA,1,32,8
"128","Eragrostis lehmanniana","ERLE",NA,1,32,8
"129","Eragrostis lehmanniana","ERLE",NA,1,33,7.5
"130","Eragrostis lehmanniana","ERLE",NA,1,33,8
"131","Eragrostis lehmanniana","ERLE",NA,1,33,11.5
"132","Eragrostis lehmanniana","ERLE",NA,1,33,9
"133","Eragrostis lehmanniana","ERLE",NA,1,34,32
"134","Eragrostis lehmanniana","ERLE",NA,1,34,31
"135","Eragrostis lehmanniana","ERLE",NA,1,34,21.5
"136","Eragrostis lehmanniana","ERLE",NA,1,34,72
"137","Eragrostis lehmanniana","ERLE",NA,1,35,6
"138","Eragrostis lehmanniana","ERLE",NA,1,35,10
"139","Eragrostis lehmanniana","ERLE",NA,1,35,12
"140","Eragrostis lehmanniana","ERLE",NA,1,35,10
"141","Eragrostis lehmanniana","ERLE",NA,1,36,12
"142","Eragrostis lehmanniana","ERLE",NA,1,36,13
"143","Eragrostis lehmanniana","ERLE",NA,1,36,16
"144","Eragrostis lehmanniana","ERLE",NA,1,36,12
"145","Eragrostis lehmanniana","ERLE",NA,1,37,11
"146","Eragrostis lehmanniana","ERLE",NA,1,37,7
"147","Eragrostis lehmanniana","ERLE",NA,1,37,13
"148","Eragrostis lehmanniana","ERLE",NA,1,37,10
"149","Eragrostis lehmanniana","ERLE",NA,1,38,37
"150","Eragrostis lehmanniana","ERLE",NA,1,38,21
"151","Eragrostis lehmanniana","ERLE",NA,1,38,20
"152","Eragrostis lehmanniana","ERLE",NA,1,38,21.5
"153","Eragrostis lehmanniana","ERLE",NA,1,39,31
"154","Eragrostis lehmanniana","ERLE",NA,1,39,15.5
"155","Eragrostis lehmanniana","ERLE",NA,1,39,14
"156","Eragrostis lehmanniana","ERLE",NA,1,39,25
"157","Eragrostis lehmanniana","ERLE",NA,1,40,5
"158","Eragrostis lehmanniana","ERLE",NA,1,40,5
"159","Eragrostis lehmanniana","ERLE",NA,1,40,8
"160","Eragrostis lehmanniana","ERLE",NA,1,40,8
"161","Eragrostis lehmanniana","ERLE",NA,1,41,2
"162","Eragrostis lehmanniana","ERLE",NA,1,41,3
"163","Eragrostis lehmanniana","ERLE",NA,1,41,4
"164","Eragrostis lehmanniana","ERLE",NA,1,41,2
"165","Eragrostis lehmanniana","ERLE",NA,1,42,7
"166","Eragrostis lehmanniana","ERLE",NA,1,42,4
"167","Eragrostis lehmanniana","ERLE",NA,1,42,7
"168","Eragrostis lehmanniana","ERLE",NA,1,42,1
"169","Eragrostis lehmanniana","ERLE",NA,1,43,15
