"","X","Species.Category.Name","Species.Category.Code","Qualifier","Transect","Sample","Height"
"1",1,"Eragrostis lehmanniana","ERLE",NA,1,1,60.96
"2",2,"Eragrostis lehmanniana","ERLE",NA,1,1,73.66
"3",3,"Eragrostis lehmanniana","ERLE",NA,1,1,76.2
"4",4,"Eragrostis lehmanniana","ERLE",NA,1,1,73.66
"5",5,"Eragrostis lehmanniana","ERLE",NA,1,2,58.42
"6",6,"Eragrostis lehmanniana","ERLE",NA,1,2,11.43
"7",7,"Eragrostis lehmanniana","ERLE",NA,1,2,45.72
"8",8,"Eragrostis lehmanniana","ERLE",NA,1,2,8.89
"9",9,"Eragrostis lehmanniana","ERLE",NA,1,3,59.69
"10",10,"Eragrostis lehmanniana","ERLE",NA,1,3,66.04
"11",11,"Eragrostis lehmanniana","ERLE",NA,1,3,66.04
"12",12,"Eragrostis lehmanniana","ERLE",NA,1,3,34.29
"13",13,"Eragrostis lehmanniana","ERLE",NA,1,4,19.05
"14",14,"Eragrostis lehmanniana","ERLE",NA,1,4,60.96
"15",15,"Eragrostis lehmanniana","ERLE",NA,1,4,62.23
"16",16,"Eragrostis lehmanniana","ERLE",NA,1,4,49.53
"17",17,"Eragrostis lehmanniana","ERLE",NA,1,5,12.7
"18",18,"Eragrostis lehmanniana","ERLE",NA,1,5,20.32
"19",19,"Eragrostis lehmanniana","ERLE",NA,1,5,19.05
"20",20,"Eragrostis lehmanniana","ERLE",NA,1,5,53.34
"21",21,"Eragrostis lehmanniana","ERLE",NA,1,6,66.04
"22",22,"Eragrostis lehmanniana","ERLE",NA,1,6,66.04
"23",23,"Eragrostis lehmanniana","ERLE",NA,1,6,50.8
"24",24,"Eragrostis lehmanniana","ERLE",NA,1,6,66.04
"25",25,"Eragrostis lehmanniana","ERLE",NA,1,7,66.04
"26",26,"Eragrostis lehmanniana","ERLE",NA,1,7,63.5
"27",27,"Eragrostis lehmanniana","ERLE",NA,1,7,68.58
"28",28,"Eragrostis lehmanniana","ERLE",NA,1,7,81.28
"29",29,"Eragrostis lehmanniana","ERLE",NA,1,8,81.28
"30",30,"Eragrostis lehmanniana","ERLE",NA,1,8,71.12
"31",31,"Eragrostis lehmanniana","ERLE",NA,1,8,68.58
"32",32,"Eragrostis lehmanniana","ERLE",NA,1,8,66.04
"33",33,"Eragrostis lehmanniana","ERLE",NA,1,9,53.34
"34",34,"Eragrostis lehmanniana","ERLE",NA,1,9,68.58
"35",35,"Eragrostis lehmanniana","ERLE",NA,1,9,39.37
"36",36,"Eragrostis lehmanniana","ERLE",NA,1,9,19.05
"37",37,"Eragrostis lehmanniana","ERLE",NA,1,10,21.59
"38",38,"Eragrostis lehmanniana","ERLE",NA,1,10,16.51
"39",39,"Eragrostis lehmanniana","ERLE",NA,1,10,58.42
"40",40,"Eragrostis lehmanniana","ERLE",NA,1,10,27.94
"41",41,"Eragrostis lehmanniana","ERLE",NA,1,11,5.08
"42",42,"Eragrostis lehmanniana","ERLE",NA,1,11,7.62
"43",43,"Eragrostis lehmanniana","ERLE",NA,1,11,12.7
"44",44,"Eragrostis lehmanniana","ERLE",NA,1,11,49.53
"45",45,"Eragrostis lehmanniana","ERLE",NA,1,12,6.35
"46",46,"Eragrostis lehmanniana","ERLE",NA,1,12,50.8
"47",47,"Eragrostis lehmanniana","ERLE",NA,1,12,55.88
"48",48,"Eragrostis lehmanniana","ERLE",NA,1,12,38.1
"49",49,"Eragrostis lehmanniana","ERLE",NA,1,13,12.7
"50",50,"Eragrostis lehmanniana","ERLE",NA,1,13,5.08
"51",51,"Eragrostis lehmanniana","ERLE",NA,1,13,12.7
"52",52,"Eragrostis lehmanniana","ERLE",NA,1,13,11.43
"53",53,"Eragrostis lehmanniana","ERLE",NA,1,14,15.24
"54",54,"Eragrostis lehmanniana","ERLE",NA,1,14,30.48
"55",55,"Eragrostis lehmanniana","ERLE",NA,1,14,45.72
"56",56,"Eragrostis lehmanniana","ERLE",NA,1,14,33.02
