"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,58
"2","Eragrostis lehmanniana","ERLE",NA,1,1,64.5
"3","Eragrostis lehmanniana","ERLE",NA,1,1,69
"4","Eragrostis lehmanniana","ERLE",NA,1,1,23
"5","Eragrostis lehmanniana","ERLE",NA,1,2,63
"6","Eragrostis lehmanniana","ERLE",NA,1,2,29
"7","Eragrostis lehmanniana","ERLE",NA,1,2,41
"8","Eragrostis lehmanniana","ERLE",NA,1,2,40
"9","Eragrostis lehmanniana","ERLE",NA,1,3,66
"10","Eragrostis lehmanniana","ERLE",NA,1,3,59
"11","Eragrostis lehmanniana","ERLE",NA,1,3,59
"12","Eragrostis lehmanniana","ERLE",NA,1,3,24.5
"13","Eragrostis lehmanniana","ERLE",NA,1,4,80.5
"14","Eragrostis lehmanniana","ERLE",NA,1,4,14
"15","Eragrostis lehmanniana","ERLE",NA,1,4,65
"16","Eragrostis lehmanniana","ERLE",NA,1,4,61
"17","Eragrostis lehmanniana","ERLE",NA,1,5,8
"18","Eragrostis lehmanniana","ERLE",NA,1,5,5
"19","Eragrostis lehmanniana","ERLE",NA,1,5,7.5
"20","Eragrostis lehmanniana","ERLE",NA,1,5,12.5
"21","Eragrostis lehmanniana","ERLE",NA,1,6,73
"22","Eragrostis lehmanniana","ERLE",NA,1,6,57
"23","Eragrostis lehmanniana","ERLE",NA,1,6,34
"24","Eragrostis lehmanniana","ERLE",NA,1,6,56
"25","Eragrostis lehmanniana","ERLE",NA,1,7,56
"26","Eragrostis lehmanniana","ERLE",NA,1,7,61
"27","Eragrostis lehmanniana","ERLE",NA,1,7,5
"28","Eragrostis lehmanniana","ERLE",NA,1,7,4.5
"29","Eragrostis lehmanniana","ERLE",NA,1,8,61
"30","Eragrostis lehmanniana","ERLE",NA,1,8,46
"31","Eragrostis lehmanniana","ERLE",NA,1,8,49
"32","Eragrostis lehmanniana","ERLE",NA,1,8,21
"33","Eragrostis lehmanniana","ERLE",NA,1,9,33
"34","Eragrostis lehmanniana","ERLE",NA,1,9,5
"35","Eragrostis lehmanniana","ERLE",NA,1,9,4
"36","Eragrostis lehmanniana","ERLE",NA,1,9,56
"37","Eragrostis lehmanniana","ERLE",NA,1,10,63
"38","Eragrostis lehmanniana","ERLE",NA,1,10,8
"39","Eragrostis lehmanniana","ERLE",NA,1,10,64
"40","Eragrostis lehmanniana","ERLE",NA,1,10,11
"41","Eragrostis lehmanniana","ERLE",NA,1,11,23
"42","Eragrostis lehmanniana","ERLE",NA,1,11,2
"43","Eragrostis lehmanniana","ERLE",NA,1,11,44
"44","Eragrostis lehmanniana","ERLE",NA,1,11,8
"45","Eragrostis lehmanniana","ERLE",NA,1,12,18.5
"46","Eragrostis lehmanniana","ERLE",NA,1,12,59
"47","Eragrostis lehmanniana","ERLE",NA,1,12,54
"48","Eragrostis lehmanniana","ERLE",NA,1,12,25
"49","Eragrostis lehmanniana","ERLE",NA,1,13,62
"50","Eragrostis lehmanniana","ERLE",NA,1,13,18
"51","Eragrostis lehmanniana","ERLE",NA,1,13,64
"52","Eragrostis lehmanniana","ERLE",NA,1,13,16
"53","Eragrostis lehmanniana","ERLE",NA,1,14,55
"54","Eragrostis lehmanniana","ERLE",NA,1,14,8
"55","Eragrostis lehmanniana","ERLE",NA,1,14,5
"56","Eragrostis lehmanniana","ERLE",NA,1,14,45
"57","Eragrostis lehmanniana","ERLE",NA,1,15,15
"58","Eragrostis lehmanniana","ERLE",NA,1,15,45
"59","Eragrostis lehmanniana","ERLE",NA,1,15,8
"60","Eragrostis lehmanniana","ERLE",NA,1,15,71
"61","Eragrostis lehmanniana","ERLE",NA,1,16,10
"62","Eragrostis lehmanniana","ERLE",NA,1,16,59
"63","Eragrostis lehmanniana","ERLE",NA,1,16,7
"64","Eragrostis lehmanniana","ERLE",NA,1,16,6
"65","Eragrostis lehmanniana","ERLE",NA,1,17,63
"66","Eragrostis lehmanniana","ERLE",NA,1,17,61
"67","Eragrostis lehmanniana","ERLE",NA,1,17,56
"68","Eragrostis lehmanniana","ERLE",NA,1,17,39
"69","Eragrostis lehmanniana","ERLE",NA,1,18,12
"70","Eragrostis lehmanniana","ERLE",NA,1,18,71
"71","Eragrostis lehmanniana","ERLE",NA,1,18,13
"72","Eragrostis lehmanniana","ERLE",NA,1,18,17
"73","Eragrostis lehmanniana","ERLE",NA,1,19,66
"74","Eragrostis lehmanniana","ERLE",NA,1,19,59
"75","Eragrostis lehmanniana","ERLE",NA,1,19,70
"76","Eragrostis lehmanniana","ERLE",NA,1,19,56
"77","Eragrostis lehmanniana","ERLE",NA,1,20,68.5
"78","Eragrostis lehmanniana","ERLE",NA,1,20,43
"79","Eragrostis lehmanniana","ERLE",NA,1,20,49
"80","Eragrostis lehmanniana","ERLE",NA,1,20,58
"81","Eragrostis lehmanniana","ERLE",NA,1,21,53
"82","Eragrostis lehmanniana","ERLE",NA,1,21,6.5
"83","Eragrostis lehmanniana","ERLE",NA,1,21,50
"84","Eragrostis lehmanniana","ERLE",NA,1,21,50.5
"85","Eragrostis lehmanniana","ERLE",NA,1,22,63
"86","Eragrostis lehmanniana","ERLE",NA,1,22,73
"87","Eragrostis lehmanniana","ERLE",NA,1,22,62.5
"88","Eragrostis lehmanniana","ERLE",NA,1,22,32
"89","Eragrostis lehmanniana","ERLE",NA,1,23,68
"90","Eragrostis lehmanniana","ERLE",NA,1,23,45
"91","Eragrostis lehmanniana","ERLE",NA,1,23,65
"92","Eragrostis lehmanniana","ERLE",NA,1,23,75
"93","Eragrostis lehmanniana","ERLE",NA,1,24,22
"94","Eragrostis lehmanniana","ERLE",NA,1,24,62
"95","Eragrostis lehmanniana","ERLE",NA,1,24,59
"96","Eragrostis lehmanniana","ERLE",NA,1,24,64
"97","Eragrostis lehmanniana","ERLE",NA,1,25,35
"98","Eragrostis lehmanniana","ERLE",NA,1,25,37
"99","Eragrostis lehmanniana","ERLE",NA,1,25,51.5
"100","Eragrostis lehmanniana","ERLE",NA,1,25,34
"101","Eragrostis lehmanniana","ERLE",NA,1,26,58
"102","Eragrostis lehmanniana","ERLE",NA,1,26,38
"103","Eragrostis lehmanniana","ERLE",NA,1,26,11
"104","Eragrostis lehmanniana","ERLE",NA,1,26,69
"105","Eragrostis lehmanniana","ERLE",NA,1,27,63
"106","Eragrostis lehmanniana","ERLE",NA,1,27,65
"107","Eragrostis lehmanniana","ERLE",NA,1,27,62
"108","Eragrostis lehmanniana","ERLE",NA,1,27,59
"109","Eragrostis lehmanniana","ERLE",NA,1,28,16
"110","Eragrostis lehmanniana","ERLE",NA,1,28,36
"111","Eragrostis lehmanniana","ERLE",NA,1,28,25
"112","Eragrostis lehmanniana","ERLE",NA,1,28,34
"113","Eragrostis lehmanniana","ERLE",NA,1,29,7
"114","Eragrostis lehmanniana","ERLE",NA,1,29,7.5
"115","Eragrostis lehmanniana","ERLE",NA,1,29,6
"116","Eragrostis lehmanniana","ERLE",NA,1,29,7.5
"117","Eragrostis lehmanniana","ERLE",NA,1,30,55
"118","Eragrostis lehmanniana","ERLE",NA,1,30,12
"119","Eragrostis lehmanniana","ERLE",NA,1,30,20
"120","Eragrostis lehmanniana","ERLE",NA,1,30,8
"121","Eragrostis lehmanniana","ERLE",NA,1,31,41
"122","Eragrostis lehmanniana","ERLE",NA,1,31,67
"123","Eragrostis lehmanniana","ERLE",NA,1,31,67.5
"124","Eragrostis lehmanniana","ERLE",NA,1,31,9
"125","Eragrostis lehmanniana","ERLE",NA,1,32,12.5
"126","Eragrostis lehmanniana","ERLE",NA,1,32,59
"127","Eragrostis lehmanniana","ERLE",NA,1,32,7.5
"128","Eragrostis lehmanniana","ERLE",NA,1,32,46
"129","Eragrostis lehmanniana","ERLE",NA,1,33,72
"130","Eragrostis lehmanniana","ERLE",NA,1,33,69.5
"131","Eragrostis lehmanniana","ERLE",NA,1,33,13
"132","Eragrostis lehmanniana","ERLE",NA,1,33,72
"133","Eragrostis lehmanniana","ERLE",NA,1,34,67.5
"134","Eragrostis lehmanniana","ERLE",NA,1,34,54
"135","Eragrostis lehmanniana","ERLE",NA,1,34,63
"136","Eragrostis lehmanniana","ERLE",NA,1,34,67
"137","Eragrostis lehmanniana","ERLE",NA,1,35,73
"138","Eragrostis lehmanniana","ERLE",NA,1,35,73
"139","Eragrostis lehmanniana","ERLE",NA,1,35,63
"140","Eragrostis lehmanniana","ERLE",NA,1,35,61
"141","Eragrostis lehmanniana","ERLE",NA,1,36,18
"142","Eragrostis lehmanniana","ERLE",NA,1,36,15
"143","Eragrostis lehmanniana","ERLE",NA,1,36,56.5
"144","Eragrostis lehmanniana","ERLE",NA,1,36,22.5
"145","Eragrostis lehmanniana","ERLE",NA,1,37,68
"146","Eragrostis lehmanniana","ERLE",NA,1,37,68.5
"147","Eragrostis lehmanniana","ERLE",NA,1,37,13
"148","Eragrostis lehmanniana","ERLE",NA,1,37,62
"149","Eragrostis lehmanniana","ERLE",NA,1,38,67
"150","Eragrostis lehmanniana","ERLE",NA,1,38,53.5
"151","Eragrostis lehmanniana","ERLE",NA,1,38,66.5
"152","Eragrostis lehmanniana","ERLE",NA,1,38,66
"153","Eragrostis lehmanniana","ERLE",NA,1,39,47
"154","Eragrostis lehmanniana","ERLE",NA,1,39,69
"155","Eragrostis lehmanniana","ERLE",NA,1,39,62
"156","Eragrostis lehmanniana","ERLE",NA,1,39,8
"157","Eragrostis lehmanniana","ERLE",NA,1,40,60
"158","Eragrostis lehmanniana","ERLE",NA,1,40,9
"159","Eragrostis lehmanniana","ERLE",NA,1,40,57
"160","Eragrostis lehmanniana","ERLE",NA,1,40,15
"161","Eragrostis lehmanniana","ERLE",NA,1,41,75
"162","Eragrostis lehmanniana","ERLE",NA,1,41,66
"163","Eragrostis lehmanniana","ERLE",NA,1,41,53
"164","Eragrostis lehmanniana","ERLE",NA,1,41,38
"165","Eragrostis lehmanniana","ERLE",NA,1,42,4
"166","Eragrostis lehmanniana","ERLE",NA,1,42,52
"167","Eragrostis lehmanniana","ERLE",NA,1,42,7
"168","Eragrostis lehmanniana","ERLE",NA,1,42,59
"169","Eragrostis lehmanniana","ERLE",NA,1,43,57
"170","Eragrostis lehmanniana","ERLE",NA,1,43,65
"171","Eragrostis lehmanniana","ERLE",NA,1,43,32
"172","Eragrostis lehmanniana","ERLE",NA,1,43,53
"173","Eragrostis lehmanniana","ERLE",NA,1,44,69
"174","Eragrostis lehmanniana","ERLE",NA,1,44,72
"175","Eragrostis lehmanniana","ERLE",NA,1,44,71
"176","Eragrostis lehmanniana","ERLE",NA,1,44,13
"177","Eragrostis lehmanniana","ERLE",NA,1,45,43
"178","Eragrostis lehmanniana","ERLE",NA,1,45,22
"179","Eragrostis lehmanniana","ERLE",NA,1,45,21
"180","Eragrostis lehmanniana","ERLE",NA,1,45,9
"181","Eragrostis lehmanniana","ERLE",NA,1,46,66
"182","Eragrostis lehmanniana","ERLE",NA,1,46,63
"183","Eragrostis lehmanniana","ERLE",NA,1,46,57
"184","Eragrostis lehmanniana","ERLE",NA,1,46,46
"185","Eragrostis lehmanniana","ERLE",NA,1,47,65
"186","Eragrostis lehmanniana","ERLE",NA,1,47,76
"187","Eragrostis lehmanniana","ERLE",NA,1,47,65
"188","Eragrostis lehmanniana","ERLE",NA,1,47,60
"189","Eragrostis lehmanniana","ERLE",NA,1,48,54
"190","Eragrostis lehmanniana","ERLE",NA,1,48,54
"191","Eragrostis lehmanniana","ERLE",NA,1,48,52
"192","Eragrostis lehmanniana","ERLE",NA,1,48,62
"193","Eragrostis lehmanniana","ERLE",NA,1,49,69
"194","Eragrostis lehmanniana","ERLE",NA,1,49,67
"195","Eragrostis lehmanniana","ERLE",NA,1,49,12
"196","Eragrostis lehmanniana","ERLE",NA,1,49,45
"197","Eragrostis lehmanniana","ERLE",NA,1,50,55
"198","Eragrostis lehmanniana","ERLE",NA,1,50,19
"199","Eragrostis lehmanniana","ERLE",NA,1,50,59
"200","Eragrostis lehmanniana","ERLE",NA,1,50,13
"201","Eragrostis lehmanniana","ERLE",NA,1,51,20
"202","Eragrostis lehmanniana","ERLE",NA,1,51,9
"203","Eragrostis lehmanniana","ERLE",NA,1,51,47
"204","Eragrostis lehmanniana","ERLE",NA,1,51,42
"205","Eragrostis lehmanniana","ERLE",NA,1,52,33
"206","Eragrostis lehmanniana","ERLE",NA,1,52,40
"207","Eragrostis lehmanniana","ERLE",NA,1,52,12
"208","Eragrostis lehmanniana","ERLE",NA,1,52,56
"209","Eragrostis lehmanniana","ERLE",NA,1,53,70
