"","X","Species.Category.Name","Species.Category.Code","Qualifier","Transect","Sample","Height"
"1",1,"Eragrostis lehmanniana","ERLE",NA,1,1,10.795
"2",2,"Eragrostis lehmanniana","ERLE",NA,1,1,10.795
"3",3,"Eragrostis lehmanniana","ERLE",NA,1,1,10.16
"4",4,"Eragrostis lehmanniana","ERLE",NA,1,1,10.16
"5",5,"Eragrostis lehmanniana","ERLE",NA,1,2,15.24
"6",6,"Eragrostis lehmanniana","ERLE",NA,1,2,16.51
"7",7,"Eragrostis lehmanniana","ERLE",NA,1,2,13.208
"8",8,"Eragrostis lehmanniana","ERLE",NA,1,2,10.668
"9",9,"Eragrostis lehmanniana","ERLE",NA,1,3,14.732
"10",10,"Eragrostis lehmanniana","ERLE",NA,1,3,17.78
"11",11,"Eragrostis lehmanniana","ERLE",NA,1,3,12.7
"12",12,"Eragrostis lehmanniana","ERLE",NA,1,3,11.43
"13",13,"Eragrostis lehmanniana","ERLE",NA,1,4,47.752
"14",14,"Eragrostis lehmanniana","ERLE",NA,1,4,33.02
"15",15,"Eragrostis lehmanniana","ERLE",NA,1,4,39.37
"16",16,"Eragrostis lehmanniana","ERLE",NA,1,4,29.21
"17",17,"Eragrostis lehmanniana","ERLE",NA,1,5,76.2
"18",18,"Eragrostis lehmanniana","ERLE",NA,1,5,73.66
"19",19,"Eragrostis lehmanniana","ERLE",NA,1,5,71.12
"20",20,"Eragrostis lehmanniana","ERLE",NA,1,5,71.12
"21",21,"Eragrostis lehmanniana","ERLE",NA,1,6,57.15
"22",22,"Eragrostis lehmanniana","ERLE",NA,1,6,49.53
"23",23,"Eragrostis lehmanniana","ERLE",NA,1,6,49.53
"24",24,"Eragrostis lehmanniana","ERLE",NA,1,6,54.61
"25",25,"Eragrostis lehmanniana","ERLE",NA,1,7,6.35
"26",26,"Eragrostis lehmanniana","ERLE",NA,1,7,10.16
"27",27,"Eragrostis lehmanniana","ERLE",NA,1,7,6.35
"28",28,"Eragrostis lehmanniana","ERLE",NA,1,7,8.89
"29",29,"Eragrostis lehmanniana","ERLE",NA,1,8,17.78
"30",30,"Eragrostis lehmanniana","ERLE",NA,1,8,15.24
"31",31,"Eragrostis lehmanniana","ERLE",NA,1,8,15.24
"32",32,"Eragrostis lehmanniana","ERLE",NA,1,8,27.94
"33",33,"Eragrostis lehmanniana","ERLE",NA,1,9,17.78
"34",34,"Eragrostis lehmanniana","ERLE",NA,1,9,15.24
"35",35,"Eragrostis lehmanniana","ERLE",NA,1,9,11.43
"36",36,"Eragrostis lehmanniana","ERLE",NA,1,9,12.7
"37",37,"Eragrostis lehmanniana","ERLE",NA,1,10,60.96
"38",38,"Eragrostis lehmanniana","ERLE",NA,1,10,50.8
"39",39,"Eragrostis lehmanniana","ERLE",NA,1,10,53.34
"40",40,"Eragrostis lehmanniana","ERLE",NA,1,10,68.58
"41",41,"Eragrostis lehmanniana","ERLE",NA,1,11,41.91
"42",42,"Eragrostis lehmanniana","ERLE",NA,1,11,15.24
"43",43,"Eragrostis lehmanniana","ERLE",NA,1,11,53.34
"44",44,"Eragrostis lehmanniana","ERLE",NA,1,11,58.42
"45",45,"Eragrostis lehmanniana","ERLE",NA,1,12,40.64
"46",46,"Eragrostis lehmanniana","ERLE",NA,1,12,36.83
"47",47,"Eragrostis lehmanniana","ERLE",NA,1,12,16.51
"48",48,"Eragrostis lehmanniana","ERLE",NA,1,12,27.94
"49",49,"Eragrostis lehmanniana","ERLE",NA,1,13,71.12
"50",50,"Eragrostis lehmanniana","ERLE",NA,1,13,76.2
"51",51,"Eragrostis lehmanniana","ERLE",NA,1,13,93.98
"52",52,"Eragrostis lehmanniana","ERLE",NA,1,13,58.42
"53",53,"Eragrostis lehmanniana","ERLE",NA,1,14,52.07
"54",54,"Eragrostis lehmanniana","ERLE",NA,1,14,41.91
"55",55,"Eragrostis lehmanniana","ERLE",NA,1,14,43.18
"56",56,"Eragrostis lehmanniana","ERLE",NA,1,14,33.02
"57",57,"Eragrostis lehmanniana","ERLE",NA,1,15,27.94
"58",58,"Eragrostis lehmanniana","ERLE",NA,1,15,53.34
"59",59,"Eragrostis lehmanniana","ERLE",NA,1,15,49.53
"60",60,"Eragrostis lehmanniana","ERLE",NA,1,15,30.48
"61",61,"Eragrostis lehmanniana","ERLE",NA,1,16,12.7
"62",62,"Eragrostis lehmanniana","ERLE",NA,1,16,13.97
"63",63,"Eragrostis lehmanniana","ERLE",NA,1,16,55.88
"64",64,"Eragrostis lehmanniana","ERLE",NA,1,16,20.32
"65",65,"Eragrostis lehmanniana","ERLE",NA,1,17,73.66
"66",66,"Eragrostis lehmanniana","ERLE",NA,1,17,64.77
"67",67,"Eragrostis lehmanniana","ERLE",NA,1,17,71.12
"68",68,"Eragrostis lehmanniana","ERLE",NA,1,17,63.5
"69",69,"Eragrostis lehmanniana","ERLE",NA,1,18,68.58
"70",70,"Eragrostis lehmanniana","ERLE",NA,1,18,71.12
"71",71,"Eragrostis lehmanniana","ERLE",NA,1,18,66.04
"72",72,"Eragrostis lehmanniana","ERLE",NA,1,18,68.58
"73",73,"Eragrostis lehmanniana","ERLE",NA,1,19,33.02
"74",74,"Eragrostis lehmanniana","ERLE",NA,1,19,10.16
