OID_,LineField,X,Y,Pasture,Sites
1,12A1,508507,3517634,12A,1
2,12A10A,510100,3516791,12A,10A
3,12A1A,509508,3517869,12A,1A
4,12A2,507802,3518629,12A,2
5,12A2A,509501,3517503,12A,2A
6,12A3,509089,3518227,12A,3
7,12A3A,507402,3518250,12A,3A
8,12A4,509847,3518085,12A,4
9,12A4A,508354,3517977,12A,4A
10,12A5,508940,3519004,12A,5
11,12A5A,509789,3517170,12A,5A
12,12A6,508475,3518627,12A,6
13,12A6A,510144,3518277,12A,6A
14,12A7A,510154,3517171,12A,7A
15,12A8A,510017,3517618,12A,8A
16,12A9A,509378,3518548,12A,9A
17,12B1,506538,3520472,12B,1
18,12B10,505059,3522049,12B,10
19,12B2,505845,3520560,12B,2
20,12B3,506260,3519791,12B,3
21,12B4,504732,3518918,12B,4
22,12B5,502712,3520564,12B,5
23,12B6,504279,3519977,12B,6
24,12B7,506211,3518684,12B,7
25,12B8,507817,3519244,12B,8
26,12B9,507965,3519888,12B,9
27,12C1,508062,3517292,12C,1
28,12C10A,508213,3516773,12C,10A
29,12C11,509625,3515895,12C,11A
30,12C12A,507997,3515050,12C,12A
31,12C13A,508692,3516347,12C,13A
32,12C1A,508056,3515562,12C,1A
33,12C2,509011,3516705,12C,2
34,12C2A,507552,3516532,12C,2A
35,12C3,507886,3516219,12C,3
36,12C3A,507305,3517162,12C,3A
37,12C4,509199,3515926,12C,4
38,12C4A,509477,3516421,12C,4A
39,12C5,508861,3515385,12C,5
40,12C5A,507691,3517716,12C,5A
41,12C6,510029,3515328,12C,6
42,12C6A,509471,3515408,12C,6A
43,12C7,510075,3516274,12C,7
44,12C7A,508711,3517136,12C,7A
45,12C9A,507424,3515920,12C,9A
46,12D1,508310,3520253,12D,1
47,12D2,508016,3520211,12D,2
48,12D3,507548,3520675,12D,3
49,12D4,506984,3522192,12D,4
50,12D5,506616,3521649,12D,5
51,1510A,513542,3528460,15,10A
52,1511A,516630,3530626,15,11A
53,1512A,516106,3529384,15,12A
54,1513A,515304,3530444,15,13A
55,1514A,516294,3530267,15,14A
56,1515A,518311,3529305,15,15A
57,1516A,513770,3529342,15,16A
58,1517A,517960,3529799,15,17A
59,1518A,517260,3528952,15,18A
60,1519A,514090,3531135,15,19A
61,151A,519102,3528622,15,1A
62,1520A,516968,3528521,15,20A
63,1521A,518054,3528666,15,21A
64,1522A,514267,3528906,15,22A
65,1523A,517990,3530695,15,23A
66,1524A,515506,3529127,15,24A
67,152A,515190,3531256,15,2A
68,153A,517565,3531135,15,3A
69,154,514737,3528531,15,4
70,154A,514713,3529530,15,4A
71,155,515573,3528544,15,5
72,155A,515593,3529889,15,5A
73,156,516325,3528418,15,6
74,156A,513962,3530362,15,6A
75,157A,516648,3531161,15,7A
76,158A,517349,3530474,15,8A
77,159A,516927,3529573,15,9A
78,2N1,514735,3522842,2N,1
79,2N10,511933,3522864,2N,10
80,2N10A,514301,3520318,2N,10A
81,2N11,511703,3522555,2N,11
82,2N11A,514834,3521003,2N,11A
83,2N12,514733,3521619,2N,12
84,2N12A,514315,3524485,2N,12A
85,2N13,513885,3523057,2N,13
86,2N13A,514001,3523580,2N,13A
87,2N14,512917,3523519,2N,14
88,2N14A,512319,3524327,2N,14A
89,2N15,512994,3524036,2N,15
90,2N16A,514208,3522260,2N,16A
91,2N1A,511380,3521697,2N,1A
92,2N2,514574,3523825,2N,2
93,2N2A,513994,3521205,2N,2A
94,2N3,513459,3524170,2N,3
95,2N3A,512443,3520643,2N,3A
96,2N4,514899,3522076,2N,4
97,2N4A,511258,3520912,2N,4A
98,2N5,514483,3521649,2N,5
99,2N5A,512049,3523649,2N,5A
100,2N6,513446,3522354,2N,6
101,2N6A,510193,3520416,2N,6A
102,2N7,513364,3520708,2N,7
103,2N7A,512815,3522730,2N,7A
104,2N8,512564,3521889,2N,8
105,2N8A,512333,3521236,2N,8A
106,2N9,512029,3522140,2N,9
107,2N9A,513262,3521543,2N,9A
108,2S1,512512,3519303,2S,1
109,2S10A,511114,3517936,2S,10A
110,2S1A,510802,3518522,2S,1A
111,2S2,512124,3519322,2S,2
112,2S2A,510464,3520137,2S,2A
113,2S3,511855,3519113,2S,3
114,2S4,511338,3518831,2S,4
115,2S4A,510016,3519411,2S,4A
116,2S5,511204,3519918,2S,5
117,2S5A,511885,3518570,2S,5A
118,2S6,510545,3519740,2S,6
119,2S6A,510402,3518981,2S,6A
120,2S7,509948,3520065,2S,7
121,2S7A,509438,3519643,2S,7A
122,2S8,511550,3518052,2S,8
123,2S8A,511599,3519562,2S,8A
124,2S9,510857,3519262,2S,9
125,2S9A,512547,3519901,2S,9A
126,31,508245,3521021,3,1
127,310,509424,3520302,3,10
128,32,507415,3521927,3,2
129,33,507526,3523157,3,
130,34,507232,3524482,3,4
131,35,508553,3524474,3,5
132,36,509174,3523595,3,6
133,37,510200,3523986,3,7
134,38,510636,3522924,3,8
135,39,511190,3524029,3,9
136,5M1,509345,3529976,5M,1
137,5M10,511837,3528134,5M,10
138,5M11,510564,3527637,5M,11
139,5M12,512248,3527555,5M,12
140,5M2,509950,3529621,5M,2
141,5M3,508856,3529548,5M,3
142,5M4,509486,3528361,5M,4
143,5M5,508476,3528072,5M,5
144,5M6,507988,3529126,5M,6
145,5M7,507252,3529540,5M,7
146,5M8,507691,3527921,5M,8
147,5M9,510272,3529432,5M,9
148,5N1,510219,3530589,5N,1
149,5N2,511349,3529751,5N,2
150,5N3,512665,3528338,5N,3
151,5N4,513095,3527740,5N,4
152,5N5,512837,3529159,5N,5
153,5N6,512270,3530338,5N,6
154,5S1,509198,3525624,5S,1
155,5S10,510325,3525086,5S,10
156,5S11,512194,3524733,5S,11
157,5S12,513396,3525057,5S,12
158,5S13,513266,3526025,5S,13
159,5S14,513262,3526631,5S,14
160,5S2,508713,3525636,5S,2
161,5S3,507785,3525506,5S,3
162,5S4,507387,3525844,5S,4
163,5S5,509772,3526296,5S,5
164,5S6,509387,3527002,5S,6
165,5S7,510742,3527145,5S,7
166,5S8,510473,3526676,5S,8
167,5S9,510974,3525880,5S,9
168,6A1,516610,3524231,6A,1
169,6A10,516474,3521534,6A,10
170,6A10A,516728,3522897,6A,10A
171,6A11,517133,3521338,6A,11
172,6A11A,518633,3522196,6A,11A
173,6A12,517503,3521494,6A,12
174,6A12A,516079,3521839,6A,12A
175,6A13,518110,3521562,6A,13
176,6A13A,515354,3524488,6A,13A
177,6A14A,516765,3521796,6A,14A
178,6A15,517580,3523571,6A,15
179,6A15A,517283,3522356,6A,15A
180,6A16,517353,3521164,6A,16
181,6A17,518028,3522440,6A,17
182,6A1A,517190,3524199,6A,1A
183,6A2,516046,3524187,6A,2
184,6A20,517590,3523766,6A,20
185,6A2A,517808,3523040,6A,2A
186,6A3,516895,3523657,6A,3
187,6A3A,516363,3523845,6A,3A
188,6A4,516787,3523475,6A,4
189,6A4A,516716,3523221,6A,4A
190,6A5,516098,3523397,6A,5
191,6A5A,515153,3523278,6A,5A
192,6A6,516113,3522933,6A,6
193,6A6A,515242,3523805,6A,6A
194,6A7A,517903,3520901,6A,7A
195,6A8,515260,3522640,6A,8
196,6A8A,518652,3522680,6A,8A
197,6A9,515861,3522366,6A,9
198,6A9A,516514,3522136,6A,9A
199,6B1,514485,3526683,6B,1
200,6B1A,515767,3525979,6B,1A
201,6B2,513942,3527599,6B,2
202,6B2A,513815,3527070,6B,2A
203,6B3,514956,3527926,6B,3
204,6B3A,515389,3527476,6B,3A
205,6B4,515137,3526405,6B,4
206,6B4A,513492,3527624,6B,4A
207,6B5,515859,3525282,6B,5
208,6B5A,515864,3526675,6B,5A
209,6B6A,513625,3528150,6B,6A
210,6B7A,514180,3527997,6B,7A
211,6B8A,514689,3527260,6B,8A
212,6B9A,515427,3528159,6B,9A
213,6D1,517235,3525029,6D,1
214,6D1A,516452,3528054,6D,1A
215,6D2,517736,3527400,6D,2
216,6D2A,517797,3526272,6D,2A
217,6D3,517561,3527857,6D,3
218,6D3A,516510,3527385,6D,3A
219,6D4,517037,3528078,6D,4
220,6D4A,516671,3525813,6D,4A
221,6D5,517386,3527555,6D,5
222,6D5A,517721,3525406,6D,5A
223,6D6,517141,3525911,6D,6
224,6D6A,516872,3526926,6D,6A
225,6D7A,517442,3524611,6D,7A
226,6D8A,517451,3526665,6D,8A
227,6D9A,516479,3526403,6D,9A
228,6E1,515433,3521503,6E,1
229,6E10A,515893,3521535,6E,10A
230,6E1A,515866,3520902,6E,1A
231,6E2,515390,3521105,6E,2
232,6E2A,515335,3520782,6E,2A
233,6E3,516206,3521094,6E,3
234,6E3A,515871,3520426,6E,3A
235,6E4,516930,3520955,6E,4
236,6E4A,515509,3521888,6E,4A
237,6E5,517595,3520518,6E,5
238,6E5A,515123,3522298,6E,5A
239,6E6A,516458,3520675,6E,6A
240,6E7A,516601,3519775,6E,7A
241,6E8A,516118,3520075,6E,8A
242,6E9A,516797,3520331,6E,9A
